,company_permalink,funding_round_permalink,funding_round_type,funding_round_code,funded_at,raised_amount_usd
478,/organization/3divaz-3,/funding-round/730a853fe91ece1519421c62dd71623a,seed,,01-11-2015,202250.0
480,/organization/3divi-company,/funding-round/7210c966a3849016584fc8027ad3c584,seed,,01-01-2011,1870000.0
482,/organization/3dmena,/funding-round/eb090919a19045fd2aab50cace641ade,seed,,01-01-2014,30000.0
486,/organization/3dplusme,/funding-round/5aff44106b0317c745708cd0a70a2921,seed,,05-12-2014,1800000.0
498,/organization/3floz-com,/funding-round/fc958a05df33118f6e204bce0a1a667f,seed,,16-08-2013,750000.0
499,/organization/3funnel,/funding-round/11b051cecb9483a856a58ef08cd82305,seed,,01-02-2013,
502,/organization/3gear-systems,/funding-round/227b14ab43e8b9112aa9357d69662e5f,seed,,30-03-2012,349999.0
516,/organization/3lm,/funding-round/98426f99da019ad100541481f7daea89,seed,,01-07-2010,1500000.0
517,/organization/3nder,/funding-round/6db48c373022fb64c9d5a39e7ddcc471,seed,,09-05-2014,
530,/organization/3play-media,/funding-round/1a970404bc1251554db8a0bd6d821893,seed,,21-10-2011,50000.0
533,/organization/3pointdata,/funding-round/57905c17f53530644fd753f62f31e69b,seed,,03-09-2010,
539,/organization/3scale,/funding-round/9083f38969f313a4e0eab1063fcb249f,seed,,20-04-2010,800000.0
543,/organization/3scan,/funding-round/4e226c75c43235fde5e9eaae3851e8de,seed,,16-07-2013,
544,/organization/3scan,/funding-round/80ce3014b10566c82bc9867fbdb4dfbc,seed,,31-08-2011,40000.0
545,/organization/3seventy,/funding-round/0696029814733ad42487c7023a123bcc,seed,,19-08-2011,2000000.0
547,/organization/3sourcing,/funding-round/15ca19c0bade20a9658a048a802f995b,seed,,29-10-2013,
548,/organization/3sourcing,/funding-round/ade543fb3019c0c33977606ca9a1a407,seed,,01-05-2014,
551,/organization/3ten8,/funding-round/b2a240cfb048c4233796a6846f565567,seed,,15-04-2015,1670000.0
575,/organization/4-tell,/funding-round/965eb01c1a3407761f8fcce24c36699e,seed,,01-07-2011,25000.0
577,/organization/4-tell,/funding-round/d61a411bc4b5cdf5d98dd816f0ced1ab,seed,,11-07-2013,
580,/organization/40-partners-ltd,/funding-round/9e636717ce6f592f7532100d41148a75,seed,,01-07-2013,228188.0
582,/organization/404-found,/funding-round/e029353030f1319c8158f4f5f8364f5e,seed,,01-07-1999,513200.0
584,/organization/40billion-com,/funding-round/6b9d6d05e705a1317a49e865b71d6b83,seed,,01-06-2010,620000.0
585,/organization/40billion-com,/funding-round/aac70bd0df7c17b6a7fae007d646f167,seed,,01-04-2008,50000.0
586,/organization/40billion-com,/funding-round/fd70095107c7a7e7179f0dd329ffc4dd,seed,,01-06-2009,380000.0
592,/organization/42,/funding-round/40ab86dc87a697e1a8b6396b374bc132,seed,,16-05-2014,0.0
593,/organization/42,/funding-round/51521cfdbd81e43a1a5e436ae746de29,seed,,21-02-2013,
597,/organization/42floors,/funding-round/82a150cc422ca012b39a87ab16d66693,seed,,01-12-2011,400000.0
601,/organization/42matters-ag,/funding-round/59a20595898c00c34549c9352765202b,seed,,12-09-2011,
603,/organization/42race,/funding-round/42487cad84d1ff88eb2d2de99854f54e,seed,,01-06-2015,500000.0
606,/organization/44lab5,/funding-round/ffd7aa4e940fe3a2a03f04cb5ef02d0e,seed,,31-05-2015,450000.0
607,/organization/46elks,/funding-round/3ca7fac775405df1af98bc40b6c95e49,seed,,02-10-2014,360540.0
608,/organization/46elks,/funding-round/4cf219d751e343ccb8a59f5db3714d61,seed,,24-08-2012,125301.0
618,/organization/4cable-tv,/funding-round/f07d5913dbf29456c970545dc73ae090,seed,,07-10-2013,20900.0
622,/organization/4deep,/funding-round/792c06c7f1ab11a5da7557afbafd4342,seed,,20-11-2015,500000.0
643,/organization/4meee,/funding-round/d6d0e5c831eed231179e5de2960343b6,seed,,13-08-2014,500000.0
644,/organization/4moms,/funding-round/5c55df2f2403b778a22d7439a00842c9,seed,,01-01-2006,
645,/organization/4moms,/funding-round/769813a91d983899f4e572e8dec3594a,seed,,17-06-2005,
657,/organization/4screens,/funding-round/555297e3a99ea9bc7b5d6e0de4dbf3a4,seed,,10-03-2015,
