,company_permalink,funding_round_permalink,funding_round_type,funding_round_code,funded_at,raised_amount_usd
2707,/organization/adsvark,/funding-round/c09b36cae974f93273638839e37e4ea4,angel,,29-07-2011,748650.0
2708,/organization/adswizz-sa,/funding-round/6c348552871560e7da5f70bb9f2d5a11,angel,,14-11-2009,2973600.0
2711,/organization/adtelligence,/funding-round/77481352bc38f93124e0fd3b6495f514,angel,,01-01-2011,
2714,/organization/adtena,/funding-round/d777223e6cdaf6376a7bc99962054c44,angel,,21-03-2015,60000.0
2715,/organization/adtena-2,/funding-round/fce768ba6a8be77b780dcce5ff80399a,angel,,21-04-2015,60000.0
2718,/organization/adtile,/funding-round/4cfbe77f37ae8bf7cc454334ecc82547,angel,,07-05-2013,2700000.0
2721,/organization/adtonik,/funding-round/e02006c8ea5e8cd75ca56f8b676f85f1,angel,,01-10-2011,500000.0
2734,/organization/adurcup,/funding-round/5795aa0652053b1f103134aad832a99b,angel,,14-09-2015,
2799,/organization/advanced-flow-technologies,/funding-round/9098e9b7b051407d496499385620516f,angel,,07-08-2013,
2850,/organization/advanced-mobile-solutions,/funding-round/2128cf871217947cce62aac9def78ac5,angel,,01-01-2008,
2916,/organization/advent-solar,/funding-round/23966a4d88458b4a8f93835b604e882b,angel,,01-01-2003,
2939,/organization/advice-company,/funding-round/b0594d1711f540481c83a5903ed38d9b,angel,,01-01-2005,500000.0
2949,/organization/advicescene-enterprises,/funding-round/6260e5bba58aafb74b9c5b4ca0e1e73b,angel,,10-07-2011,176988.0
2976,/organization/adwanted,/funding-round/b018e07ba3bd861b69a062fe84b71755,angel,,01-12-2012,194794.0
3004,/organization/adyoulike,/funding-round/aaccea8678ee83c848c11a071f5f6ee7,angel,,01-04-2011,282820.0
3089,/organization/aerialtronics,/funding-round/71ad995e8eea030901eb63db284cf507,angel,,01-11-2013,4088548.0
3095,/organization/aerify-media,/funding-round/3f67f276e2a0f2ebbe0d1506276b79a4,angel,,01-01-2010,1000000.0
3102,/organization/aeristech-limited,/funding-round/cf93ec457dd1834e6e0c1c19874b43c1,angel,,01-08-2014,396529.0
3186,/organization/aetho,/funding-round/1e1a86d53211f96ef2703e999d849216,angel,,01-03-2015,
3187,/organization/aetho,/funding-round/6387363009ed8820bbb0b515bfc60afc,angel,,04-05-2015,
3226,/organization/affine-analytics,/funding-round/19bf2ee1bce7bb0e50794d3f0bf5d1f4,angel,,01-01-2012,100000.0
3306,/organization/afluenta,/funding-round/c0211248aeb5cc161b5da1226588b0cb,angel,,01-07-2011,775000.0
3310,/organization/aframe,/funding-round/924e79ab4bf5fff94b2afa6ab07efd7a,angel,,01-10-2009,850000.0
3311,/organization/aframe,/funding-round/be6b03181a62b8157bc373c5bfb750f8,angel,,01-11-2010,2000000.0
3312,/organization/aframe-digital,/funding-round/9cf6ecb060ed4b8ee7a3f01cc5fb78b1,angel,,01-01-2005,
3317,/organization/africa-angels-network,/funding-round/9d6da415a58ca3fed021e05242c7421c,angel,,01-01-2014,
3321,/organization/africainteractive,/funding-round/72aff9791c382f6733baa74811d974e2,angel,,01-01-2007,
3456,/organization/agiftidea-com,/funding-round/10f62aeaad71a572921c7157a69378c0,angel,,01-01-2012,50000.0
3479,/organization/agile-wind-power,/funding-round/b5591b820f047ccc869435efb42de7ab,angel,,01-06-2012,1856869.0
