,company_permalink,funding_round_permalink,funding_round_type,funding_round_code,funded_at,raised_amount_usd
3003,/organization/adynxx,/funding-round/b76224f2c9f41dbf76aea76af21ca726,private_equity,,01-07-2012,2000000.0
3024,/organization/aegea-medical,/funding-round/a3fed0ac78a9492c7ff971e315c296e6,private_equity,,25-05-2011,13366498.0
3077,/organization/aequus-pharmaceuticals,/funding-round/341cac4b692e83c5f6606f4bc62951ee,private_equity,,20-11-2014,4200000.0
3168,/organization/aet-holdings,/funding-round/76feddd7dcd62f95fbae6297f7e25c34,private_equity,,21-08-2014,6000000.0
3202,/organization/afcv-holdings,/funding-round/5046b51602de3dce8217b78e8be69bba,private_equity,,12-07-2012,8000000.0
3217,/organization/affero-lab,/funding-round/e4dfdb36b6add531384687949ca3f379,private_equity,,03-06-2015,
3218,/organization/affero-lab,/funding-round/ef78340aa0ed38c0ec66af04b98aadc3,private_equity,,02-07-2010,13940520.0
3325,/organization/afrifresh-group,/funding-round/22dfe35b9429fecc9f887e4fbf032f58,private_equity,,01-02-2011,20000000.0
3326,/organization/afrifresh-group,/funding-round/96a4435429dd8559730a3e7375a5a75c,private_equity,,10-02-2014,13500000.0
3330,/organization/afrimax,/funding-round/d57bcebf1fa7d1a3a5985d9fcd8f3fea,private_equity,,14-09-2015,120000000.0
3365,/organization/agavoo-videocoferencing,/funding-round/f86850256967a686242b70f4c0006d34,private_equity,,01-06-2013,2100000.0
3390,/organization/agendia,/funding-round/413bb9923bb8416fb5783cbb8a4d0fd0,private_equity,,31-05-2012,65000000.0
3441,/organization/aggamin-pharmaceuticals,/funding-round/be724fb4643197e1ad4ed008b7988c93,private_equity,,18-04-2013,3722355.0
3505,/organization/agiliance,/funding-round/f44f32f43458205e47e8aadb431204d7,private_equity,,01-08-2012,5455361.0
3579,/organization/agorafy,/funding-round/1151fe91b550f359f2de631999e4c6c1,private_equity,,01-11-2010,2000000.0
3740,/organization/air-canada,/funding-round/2d2816ddd1a82dd561cd4e920114494c,private_equity,,25-06-2004,250000000.0
3765,/organization/airbnb,/funding-round/47de508203de515a569130787dc50dbe,private_equity,,20-11-2015,100000000.0
3767,/organization/airbnb,/funding-round/8ab0470b7e24485f60b57ad0378ba13a,private_equity,,28-06-2015,1500000000.0
3808,/organization/aireon,/funding-round/696d6dbe40888115c1216cceac25e178,private_equity,,18-02-2014,50000000.0
3873,/organization/airstone-labs,/funding-round/199811828b83446064ff70d28815e1ac,private_equity,,01-01-2013,2511000.0
3899,/organization/airtouch-communications,/funding-round/477fa6a792e0854a8aa8338455f2b36f,private_equity,,28-04-2011,5506428.0
3938,/organization/airxpanders,/funding-round/a0ef9a6005b87743477c60fcdfce1f10,private_equity,,01-01-2012,10308000.0
4146,/organization/alarm-com,/funding-round/1951131db158d64ee5519c8ad52df016,private_equity,,24-07-2012,136000000.0
4165,/organization/albatross-security-forces,/funding-round/38db919f77ce36a8dafbc5367f906064,private_equity,,01-01-2014,15000000.0
4212,/organization/alcyone-lifesciences,/funding-round/cb00ef58d6a2d03ff252bf74d520625f,private_equity,,09-05-2013,1000004.0
4233,/organization/aldermore-bank-plc,/funding-round/bff33f4981f3e88547728716744cec36,private_equity,,21-01-2014,60610057.0
4272,/organization/alert-logic,/funding-round/a0a8ba61bd2ac37cb23551707cb6b483,private_equity,,20-08-2013,
4292,/organization/alex-and-ani,/funding-round/5d2b90c942277d742a7f26748a195172,private_equity,,22-10-2012,
4295,/organization/alexandre-de-paris,/funding-round/8fabcd17a0377c95cb708ecd3aa8ad33,private_equity,,14-03-2013,
4317,/organization/algae-international-group,/funding-round/fa8f55fb48f3f8fdd6274f02a0e8d3ef,private_equity,,23-07-2013,5000000.0
4366,/organization/alibaba,/funding-round/1073dbd198693a8e1e9e2a0c66f5cd11,private_equity,,11-08-2005,1000000000.0
4367,/organization/alibaba,/funding-round/1feb081721162822dc468cdfe0ee5844,private_equity,,01-02-2004,82000000.0
4368,/organization/alibaba,/funding-round/2c08abebca4550c9a9ee27da7d42af56,private_equity,,01-09-2012,2000000000.0
4369,/organization/alibaba,/funding-round/80b480f3789fb94295f80a0f9aec1fd4,private_equity,,22-09-2011,1600000000.0
4371,/organization/alibaba,/funding-round/c5958499097de5ca34b616512f261c6e,private_equity,,01-10-2000,25000000.0
4385,/organization/alien-technology,/funding-round/4a91bde0c753c2fab714e2c0c3eae9b9,private_equity,,03-03-2010,10900000.0
4386,/organization/alien-technology,/funding-round/818c2dcd24e5155075d0a848704b3149,private_equity,,08-11-2011,15000000.0
4390,/organization/alien-technology,/funding-round/e7948acd6846118cd45c8c3301b1d408,private_equity,,22-12-2009,9477366.0
4391,/organization/alien-technology,/funding-round/f36d12fb62fd76d926b0289c5abeebd5,private_equity,,09-10-2014,35000000.0
4417,/organization/alignment-healthcare,/funding-round/63d608082efadcf947361c9a7bea0496,private_equity,,28-04-2014,125000000.0
4457,/organization/alixarx,/funding-round/e4b532c6a1cd08b4be625fd94c548a05,private_equity,,02-07-2013,100000000.0
4472,/organization/alkermes,/funding-round/1aa883c0cbb5e6e9153d217318d878f5,private_equity,,13-01-2014,250000000.0
4481,/organization/all-campus,/funding-round/1f801ae41522a9dd2934cebefa52f1d8,private_equity,,07-08-2012,6000000.0
4586,/organization/allied-resource-corporation,/funding-round/8577e95efad7bbd9d52b99189212a5ee,private_equity,,09-06-2008,53000000.0
4615,/organization/allocade,/funding-round/9ae4250fd814e482bb2a1e8f4df32065,private_equity,,15-08-2011,3159045.0
4714,/organization/almaviva-sant,/funding-round/bbae1c42f3a31de2ed3adb11da33f752,private_equity,,28-11-2013,54331585.0
4767,/organization/alphacityguides,/funding-round/68145b7bbfc85ecc19a16ed37ce3fb2d,private_equity,,01-07-2012,
4790,/organization/alphatec-spine,/funding-round/c7716694273e2216f6f8d80d743a7645,private_equity,,09-11-2012,8950000.0
4824,/organization/alta-devices,/funding-round/dcd57f357e23cb321fed84dfb2405664,private_equity,,09-03-2011,72000000.0
4826,/organization/alta-wind-energy-center,/funding-round/d607271c19dddc97140024a7566699e6,private_equity,,22-06-2011,102000000.0
4830,/organization/altair-engineering,/funding-round/973724f6764c6e88347dc02602745d33,private_equity,,06-10-2004,30000000.0
4895,/organization/altheus-therapeutics,/funding-round/af1d68682cf0986bedfcf2c03d7255ad,private_equity,,04-01-2013,8085705.0
4941,/organization/altobridge,/funding-round/c41ec5c339548737db8f9e2139649693,private_equity,,25-02-2013,7800000.0
4949,/organization/altor-bioscience,/funding-round/4e26aa9e51f371b3dc8867b641eaacac,private_equity,,21-03-2013,5500000.0
4952,/organization/altor-bioscience,/funding-round/a5fb6deffa5a7fc1acb58e569ba23582,private_equity,,01-06-2015,10715447.0
5020,/organization/alvine-pharmaceuticals,/funding-round/96311cdd9dffc05e8b1694ec4596e97f,private_equity,,14-05-2013,70000000.0
5067,/organization/amarin,/funding-round/b1a1a8e238d65a6e620dd01cb6ce8039,private_equity,,13-10-2009,70000000.0
5254,/organization/american-pathology-partners,/funding-round/20fa84c9dd842e5a97659bd2af299eb0,private_equity,,01-09-2012,5999999.0
5313,/organization/amia-systems,/funding-round/47f2d1603e53b1b520a839216dad0a7c,private_equity,,01-06-2014,1022369.0
5314,/organization/amiad,/funding-round/7a9fb2434148d460757edd4bc83772d5,private_equity,,01-01-2009,9000000.0
5385,/organization/amo-pharma,/funding-round/c8a742c579d3d13040566e1e6507ebe0,private_equity,,30-09-2015,25000000.0
5477,/organization/ampliphi-biosciences,/funding-round/97bfe4badb48a7643fe0962db20d7b30,private_equity,,10-07-2013,12490999.0
5505,/organization/amresorts,/funding-round/b138874c7b61f13c4b3476d21c1ef2c1,private_equity,,07-01-2013,
5511,/organization/ams-ag,/funding-round/38d9a43a4c6343b24459169bc9160c9b,private_equity,,29-07-2011,149938635.0
5559,/organization/an-giang-plant-protection-joint-stock-company,/funding-round/68723f8cc0c5a50d0e1fa47b20c9a4f1,private_equity,,29-09-2014,90000000.0
5567,/organization/anacor-pharmaceutical,/funding-round/0bd67879708842a6b687ec817b9ba0f1,private_equity,,09-04-2013,5000000.0
5578,/organization/anaergia,/funding-round/cd18372f5d1e1689f3af1ab72fbefe34,private_equity,,07-10-2013,46256055.0
5634,/organization/anaqua,/funding-round/08a42e6b63c34cc580628b558c295500,private_equity,,17-10-2013,25000000.0
5635,/organization/anaqua,/funding-round/8cd85b3b74510896671faecbcc823161,private_equity,,17-07-2013,100000000.0
5641,/organization/anavex,/funding-round/d36c255773bad748e6062d53b741dd6b,private_equity,,08-07-2013,2600000.0
5652,/organization/ancestry-com,/funding-round/fb9508e12c5a298d52c13fee4d7c4ef4,private_equity,,16-10-2007,300000000.0
5683,/organization/andaman7,/funding-round/3ce65bf5b3c83faf943ca4ffdcd301b7,private_equity,,03-11-2015,1430662.0
5730,/organization/anesco,/funding-round/3b3a2db768508ea6c173bb3bb019a486,private_equity,,27-11-2014,
5765,/organization/angel-medical-systems,/funding-round/b868607f502437093b888a33eff8bcdf,private_equity,,03-04-2013,17535000.0
5847,/organization/animail,/funding-round/897d45f4a3928ead18676441121d2368,private_equity,,01-05-2014,
5848,/organization/animail,/funding-round/9067b388104be6c29adf847806ed612f,private_equity,,11-08-2015,
5849,/organization/animail,/funding-round/cb73c19a49275aeb1f4d424a3ce3d7ea,private_equity,,01-07-2011,
5900,/organization/annai-systems,/funding-round/e4d7b2047677c6951cc7f5c3c4a3e6b0,private_equity,,08-02-2011,1800000.0
5966,/organization/answers-corporation,/funding-round/7fa4caea45cc73f7926372b35bb65011,private_equity,,23-12-2013,300000000.0
5975,/organization/antares-energy,/funding-round/d737e292d59c34e397ebf4e93fd53793,private_equity,,07-10-2013,10000000.0
5977,/organization/antarex-group,/funding-round/1236f3e6a63a49a33aeceb92c520c92b,private_equity,,04-12-2014,
6026,/organization/anti-germ-medentech,/funding-round/3a2a5e42a8b2a40f334042c5a6b00ad4,private_equity,,18-03-2015,
6172,/organization/apangea-learning,/funding-round/896b4af605862f73279349e61eb215aa,private_equity,,22-06-2011,4499250.0
6174,/organization/aparc-systems,/funding-round/c88e2a092ee7a6c7f7a5eeffd1877db0,private_equity,,14-03-2013,
6204,/organization/aperia-technologies,/funding-round/db9faa1569ce61688840c97e6cc2f39a,private_equity,,11-01-2013,5701363.0
6236,/organization/apex-learning,/funding-round/40b25db632ed412ce1079db87d466d6a,private_equity,,19-06-2013,8261724.0
6332,/organization/apollo-aviation-group,/funding-round/41f5a5050d4cf45c65b364bcf4765773,private_equity,,07-10-2015,833000000.0
6334,/organization/apollo-endosurgery,/funding-round/1508f1908aeec77ae70376228e6950b0,private_equity,,18-12-2013,40000000.0
6399,/organization/app55,/funding-round/15da45e41a94a0a0beffd61618c46258,private_equity,,21-05-2012,1700000.0
6407,/organization/apparel-media-group,/funding-round/2ea862a2ff741373252aae17e23c1770,private_equity,,01-12-2012,
6416,/organization/appature-inc,/funding-round/3e0e38bdb46c60596310d2e3e037a282,private_equity,,13-07-2012,6100000.0
6622,/organization/apple-seeds,/funding-round/eff6c95aaea1e47f36d0695e73417869,private_equity,,03-01-2013,150000.0
6651,/organization/applied-biocode,/funding-round/8e2858b4ff9681302d773c0191cdcba3,private_equity,,06-12-2012,1250000.0
6670,/organization/applied-dna-sciences,/funding-round/471c4945ddc7bffd65a13b8b2bbe5d33,private_equity,,19-07-2011,5000000.0
6673,/organization/applied-dna-sciences,/funding-round/c703b64e2013f09da07924adb5e3060e,private_equity,,09-07-2012,1542600.0
6926,/organization/apptis-inc,/funding-round/d0b7508f854bcb7afaa91dd847504cfd,private_equity,,09-12-2004,40000000.0
7171,/organization/aquinox-pharmaceuticals,/funding-round/aee8324a7e532acd4cf1e91cd65516ec,private_equity,,21-09-2011,3536035.0
7195,/organization/arago-ag,/funding-round/ba199217cae288530b07b1a6a2490343,private_equity,,16-10-2014,55000000.0
7269,/organization/arcadia-biosciences,/funding-round/280c5ffe83dec23b846850d8673fda8f,private_equity,,08-05-2014,33000000.0
7270,/organization/arcadia-biosciences,/funding-round/2de5505d06c1be653944bc73a7e1c05a,private_equity,,30-04-2010,25000000.0
7271,/organization/arcadia-biosciences,/funding-round/5ee3442847053609598282f5f09dcb0b,private_equity,,31-10-2008,15000000.0
7272,/organization/arcadia-biosciences,/funding-round/8aff09c0e1b03cc477cdc4f2d324aa31,private_equity,,30-11-2011,10000000.0
7273,/organization/arcadia-biosciences,/funding-round/c8e79816aabb0d1daeeb0a2c16da021a,private_equity,,15-06-2005,18000000.0
7278,/organization/arcadia-solutions,/funding-round/32e6f406411af716ad655e3edd2c5bd2,private_equity,,14-11-2012,
7279,/organization/arcadia-solutions,/funding-round/b6eccec57714bb37734c9c818c7b0041,private_equity,,14-04-2015,13000000.0
7280,/organization/arcadian-networks,/funding-round/3ae3567008fe30a7fb0c786692cb36ec,private_equity,,27-04-2007,90000000.0
7305,/organization/arch-therapeutics,/funding-round/1f539110420ca24181891a2a40c0c4bd,private_equity,,01-07-2015,3000000.0
7446,/organization/arena-pharmaceuticals,/funding-round/213d8f7f9daa2c318524b1ae24255868,private_equity,,03-06-2010,35500000.0
7447,/organization/arena-pharmaceuticals,/funding-round/d07544e8bdc14fbc69f114e1ddd6d452,private_equity,,17-06-2009,151760000.0
7448,/organization/arena-pharmaceuticals,/funding-round/f1515ad1a2062e3b9477279cf779f688,private_equity,,11-01-2012,33000000.0
7497,/organization/argus-information-advisory-services,/funding-round/f20338c6259ac61f4282c9fb16354cd6,private_equity,,31-12-2007,
7513,/organization/argyle-executive-forum,/funding-round/5e9728f37a4044046cfe7a7403299da0,private_equity,,16-06-2015,
7517,/organization/ari-network-services,/funding-round/14db129092dfb15c1ee9c97fdb6f6657,private_equity,,13-03-2013,4800000.0
7539,/organization/aricent,/funding-round/d014bdb40ff1ca9505d8e2dfc391b89a,private_equity,,23-09-2008,60000000.0
7626,/organization/arkex,/funding-round/45af240b405f71a6df791ba8fc84d8c7,private_equity,,26-06-2013,15000000.0
7680,/organization/arno-therapeutics,/funding-round/2943f4f0bf23f7f4e3f0c8c76d08a61a,private_equity,,30-10-2013,31000000.0
7708,/organization/arran-aromatics,/funding-round/f0a9ae5e287740d955cdfd5ee2a0bc86,private_equity,,01-08-2013,4242704.0
7924,/organization/arts-alliance-media,/funding-round/00b9540831f0e1389726248f0a352cc6,private_equity,,11-12-2008,56824500.0
7925,/organization/arts-alliance-media,/funding-round/9d7b94790463c0c20ab9e2484b347ff3,private_equity,,16-03-2010,68615000.0
8012,/organization/asc-it-consultancy-services,/funding-round/bffb137f2d8681e764f02fcaf63b0f9a,private_equity,,17-04-2010,50000000.0
8033,/organization/ascension-orthopedics,/funding-round/8d7d9a1aae134677ee246a80402bcd9b,private_equity,,20-07-2011,18664050.0
8038,/organization/ascent-solar-technologies,/funding-round/3a88628012a5f51d97b7b7a8ed023a95,private_equity,,29-08-2011,7360000.0
8087,/organization/asia-bioenergy-technologies-berhad,/funding-round/0c6f6e72b4f7d803f2e058b114451f64,private_equity,,23-09-2013,1200000.0
8145,/organization/asp4all-bitbrains,/funding-round/a9b6de459b45910d81d2b22e5a46f378,private_equity,,17-07-2014,
